"csv_path","inferred_pipeline_step","included_in_word_v4","word_table_number","handling_method","reason_if_excluded_or_summarized","n_rows","n_columns","column_names","notes"
"02_clean/missing_data_report.csv","Tiền xử lý và kiểm soát chất lượng dữ liệu","yes","PL.C.1","full","",59,3,"variable | n_missing | pct_missing","encoding= UTF-8"
"02_clean/tech_validation_report.csv","Tiền xử lý và kiểm soát chất lượng dữ liệu","no","","exclude","Không thuộc tập bảng báo cáo V4",0,3,"column | issue | count","encoding= UTF-8"
"03_qc/qc_flags_detail.csv","Tiền xử lý và kiểm soát chất lượng dữ liệu","no","","exclude","Không thuộc tập bảng báo cáo V4",432,10,"Responder ID | flag_straightline | flag_longstring | flag_speeding | flag_inconsistent | flag_duplicate | n_flags | qc_remove | longstring_max | irv","encoding= UTF-8"
"03_qc/qc_summary.csv","Tiền xử lý và kiểm soát chất lượng dữ liệu","yes","PL.C.2","full","",5,3,"Criterion | N_flagged | Pct","encoding= UTF-8"
"03_qc/sample_flow.csv","Tiền xử lý và kiểm soát chất lượng dữ liệu","yes","PL.C.3","full","",4,5,"Stage | N | Removed | Pct_Removed | Note","encoding= UTF-8"
"04_cmv/full_collinearity_vif.csv","Tiền xử lý và kiểm soát chất lượng dữ liệu","yes","PL.C.4","full","",11,2,"Construct | Full_Collinearity_VIF","encoding= UTF-8"
"04_descriptives/construct_descriptive_stats.csv","Mô tả mẫu và thống kê mô tả","yes","PL.D.1; PL.D.2","split","",11,11,"Construct | Full_Name | Measurement_Type | N_Indicators | N | Mean | SD | Min | Max | Skewness | Kurtosis","encoding= UTF-8"
"04_descriptives/control_var_coding.csv","Mô tả mẫu và thống kê mô tả","no","","exclude","Không thuộc tập bảng báo cáo V4",5,3,"Source | Target | Type","encoding= UTF-8"
"04_descriptives/correlation_matrix.csv","Mô tả mẫu và thống kê mô tả","yes","PL.D.3","summary","Không đưa full matrix vào Word theo quy tắc readability",58,59,"col_1 | COM1 | COM2 | COM3 | COM4 | COM5 | COM7 | COM8 | COM9 | PS1 | PS2 | PS3 | PS4 | PS5 | MO1 | MO2 | MO3 | MO4 | MO5 | TP1 | TP2 | TP4 | IT1 | IT2 | IT3 | IT4 | CC1 | CC2 | CC3 | CC4 | CC5 | CG1 | CG2 | CG3 | CG4 | CG5 | CG6 | CG7 | CG8 | CG9 | ETH1 | ETH2 | ETH3 | ETH4 | TC1 | TC2 | TC3 | TC4 | TC5 | TC6 | AJ1 | AJ2 | AJ3 | AQ1 | AQ2 | AQ3 | AQ4 | AQ5 | AQ6","encoding= UTF-8"
"04_descriptives/demographic_profile.csv","Mô tả mẫu và thống kê mô tả","no","","exclude","Không thuộc tập bảng báo cáo V4",15,4,"Variable | Category | N | Pct","encoding= UTF-8"
"04_descriptives/demographics/bang_cap.csv","Mô tả mẫu và thống kê mô tả","no","","exclude","Không thuộc tập bảng báo cáo V4",3,4,"Variable | Category | N | Pct","encoding= UTF-8"
"04_descriptives/demographics/chung_chi_hanh_nghe.csv","Mô tả mẫu và thống kê mô tả","no","","exclude","Không thuộc tập bảng báo cáo V4",3,4,"Variable | Category | N | Pct","encoding= UTF-8"
"04_descriptives/demographics/gioi_tinh.csv","Mô tả mẫu và thống kê mô tả","no","","exclude","Không thuộc tập bảng báo cáo V4",3,4,"Variable | Category | N | Pct","encoding= UTF-8"
"04_descriptives/demographics/kinh_nghiem.csv","Mô tả mẫu và thống kê mô tả","no","","exclude","Không thuộc tập bảng báo cáo V4",6,4,"Variable | Category | N | Pct","encoding= UTF-8"
"04_descriptives/demographics/vi_tri.csv","Mô tả mẫu và thống kê mô tả","no","","exclude","Không thuộc tập bảng báo cáo V4",5,4,"Variable | Category | N | Pct","encoding= UTF-8"
"04_descriptives/descriptive_stats.csv","Mô tả mẫu và thống kê mô tả","yes","PL.D.4","full","",58,8,"Variable | N | Mean | SD | Min | Max | Skewness | Kurtosis","encoding= UTF-8"
"04_descriptives/sample_demographics.csv","Mô tả mẫu và thống kê mô tả","yes","PL.D.5","full","",20,4,"Variable | Category | N | Pct","encoding= UTF-8"
"05_measurement/formative/indicator_decisions.csv","Đánh giá mô hình đo lường","no","","exclude","Không thuộc tập bảng báo cáo V4",38,7,"Construct | Indicator | Weight | Loading | Weight_Significant | Decision | Reason","encoding= UTF-8"
"05_measurement/formative/nomological_validity.csv","Đánh giá mô hình đo lường","no","","exclude","Không thuộc tập bảng báo cáo V4",6,3,"Formative_Construct | Related_Constructs | Note","encoding= UTF-8"
"05_measurement/formative/outer_loadings_formative.csv","Đánh giá mô hình đo lường","no","","exclude","Không thuộc tập bảng báo cáo V4",38,3,"Construct | Indicator | Loading","encoding= UTF-8"
"05_measurement/formative/outer_vif.csv","Đánh giá mô hình đo lường","yes","PL.E.1","full","",38,4,"Construct | Indicator | Outer_VIF | Status","encoding= UTF-8"
"05_measurement/formative/outer_weights_bootstrap.csv","Đánh giá mô hình đo lường","yes","PL.E.2; PL.E.3; PL.E.4","split","",38,11,"Construct | Indicator | Weight | T_Stat | P_Value | CI_Low | CI_High | Sig_Primary | T_Sig | Mismatch | Significant","encoding= UTF-8"
"05_measurement/reflective/htmt_ci_bootstrap.csv","Đánh giá mô hình đo lường","no","","exclude","Không thuộc tập bảng báo cáo V4",55,8,"col_1 | Original Est. | Bootstrap Mean | Bootstrap SD | T Stat. | 2.5% CI | 97.5% CI | Bootstrap P Val","encoding= UTF-8"
"05_measurement/reflective/htmt_matrix.csv","Đánh giá mô hình đo lường","no","","exclude","Không thuộc tập bảng báo cáo V4",5,6,"col_1 | PS | TP | IT | CC | AJ","encoding= UTF-8"
"05_measurement/reflective/htmt_matrix_full.csv","Đánh giá mô hình đo lường","yes","PL.E.5; PL.E.6","split","",11,12,"col_1 | COM | PS | MO | TP | IT | CC | CG | AJ | TC | ETH | AQ","encoding= UTF-8"
"05_measurement/reflective/indicator_decisions.csv","Đánh giá mô hình đo lường","no","","exclude","Không thuộc tập bảng báo cáo V4",20,5,"Construct | Indicator | Loading | Decision | Reason","encoding= UTF-8"
"05_measurement/reflective/outer_loadings.csv","Đánh giá mô hình đo lường","yes","PL.E.7","full","",20,3,"Construct | Indicator | Loading","encoding= UTF-8"
"05_measurement/reflective/reliability_table.csv","Đánh giá mô hình đo lường","yes","PL.E.8","full","",5,5,"Construct | Cronbachs_Alpha | rho_A | CR | AVE","encoding= UTF-8"
"06_structural/f_squared.csv","Mô hình cấu trúc và khả năng dự báo","yes","PL.F.1","full","",10,4,"IV | DV | f_squared | Effect_Size","encoding= UTF-8"
"06_structural/inner_vif.csv","Mô hình cấu trúc và khả năng dự báo","yes","PL.F.2","full","",10,3,"DV | IV | VIF","encoding= UTF-8"
"06_structural/path_coefficients_bootstrap.csv","Mô hình cấu trúc và khả năng dự báo","yes","PL.F.3; PL.F.4; PL.F.5","split","",10,14,"Beta | Boot_Mean | Boot_SE | T_Stat | CI_Low | CI_High | Path | P_Value | Sig_Primary | T_Sig | P_Sig | Mismatch | Notes | Significant","encoding= UTF-8"
"06_structural/r_squared.csv","Mô hình cấu trúc và khả năng dự báo","yes","PL.F.6","full","",2,3,"Construct | R_squared | Adj_R_squared","encoding= UTF-8"
"07_predict/plspredict_results.csv","Mô hình cấu trúc và khả năng dự báo","yes","PL.F.7","full","",9,6,"Indicator | Q2_predict | PLS_RMSE | PLS_MAE | LM_RMSE | LM_MAE","encoding= UTF-8"
"07_predict/plspredict_vs_lm.csv","Mô hình cấu trúc và khả năng dự báo","no","","exclude","Không thuộc tập bảng báo cáo V4",9,3,"Indicator | RMSE_PLS_better | MAE_PLS_better","encoding= UTF-8"
"07_predict/prediction_classification.csv","Mô hình cấu trúc và khả năng dự báo","no","","exclude","Không thuộc tập bảng báo cáo V4",1,5,"N_indicators | N_RMSE_PLS_better | N_MAE_PLS_better | Pct_better | Prediction_Level","encoding= UTF-8"
"08_complex/mediation/mediation_classification.csv","Trung gian, điều tiết và độ bền","yes","PL.G.1; PL.G.2","split","",7,10,"X | M | Y | Direct_c | Direct_Sig | Indirect_ab | Indirect_Sig | Total | VAF | Classification","encoding= UTF-8"
"08_complex/mediation/specific_indirect_effects.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",7,33,"X | M | Y | a | a_CI_Low | a_CI_High | b | b_CI_Low | b_CI_High | Direct_c | Direct_T | Direct_P | Direct_CI_Low | Direct_CI_High | Direct_Sig | Direct_T_Sig | Direct_P_Sig | Direct_Mismatch | Indirect_ab | Indirect_T | Indirect_P | Indirect_CI_Low | Indirect_CI_High | Indirect_Sig | Indirect_T_Sig | Indirect_P_Sig | Indirect_Mismatch | Total | Total_CI_Low | Total_CI_High | VAF | Classification | Notes","encoding= UTF-8"
"08_complex/moderation/interaction_coefficients.csv","Trung gian, điều tiết và độ bền","yes","PL.G.3; PL.G.4; PL.G.5; PL.G.6; PL.G.7","split","",2,25,"Interaction | IV | Moderator | DV | Method | IV_Direct_Beta | IV_Direct_CI_Low | IV_Direct_CI_High | Mod_Direct_Beta | Mod_Direct_CI_Low | Mod_Direct_CI_High | Interaction_Beta | Interaction_T | Interaction_P | Interaction_CI_Low | Interaction_CI_High | CI_Level | CI_Method | Sig_Primary | T_Sig | P_Sig | CI_Excludes_Zero | Mismatch | Significant | Notes","encoding= UTF-8"
"08_complex/moderation/simple_slopes_ETH.csv","Trung gian, điều tiết và độ bền","yes","PL.G.8","full","",3,4,"Moderator | Moderator_Level | W_Value | Simple_Slope","encoding= UTF-8"
"08_complex/moderation/simple_slopes_TC.csv","Trung gian, điều tiết và độ bền","yes","PL.G.9","full","",3,4,"Moderator | Moderator_Level | W_Value | Simple_Slope","encoding= UTF-8"
"09_robust/controlled_model/control_path_coefficients.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",10,7,"Control | DV | Beta | T_Stat | CI_Low | CI_High | Significant","encoding= UTF-8"
"09_robust/controlled_model/indirect_effects_A_vs_B.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",7,12,"Path | Indirect_A | CI_Low_A | CI_High_A | Sig_A | Indirect_B | CI_Low_B | CI_High_B | Sig_B | Sign_Stable | Sig_Stable | Robust","encoding= UTF-8"
"09_robust/controlled_model/path_comparison_A_vs_B.csv","Trung gian, điều tiết và độ bền","yes","PL.G.10; PL.G.11; PL.G.12","split","",10,15,"Path | Beta_A | Beta_B | Delta_Beta | T_A | T_B | CI_Low_A | CI_High_A | CI_Low_B | CI_High_B | Sig_A | Sig_B | Sign_Stable | Sig_Stable | Robust","encoding= UTF-8"
"09_robust/controlled_model/r2_comparison_A_vs_B.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",2,4,"DV | R2_A | R2_B | Delta_R2","encoding= UTF-8"
"09_robust/endogeneity/copula_decisions.csv","Trung gian, điều tiết và độ bền","yes","PL.G.13","full","",3,4,"Equation | Suspected | Decision | Reason","encoding= UTF-8"
"09_robust/endogeneity/copula_nonnormality.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",3,10,"Variable | N | Skewness | Kurtosis_Excess | SW_W | SW_p | JB_Stat | JB_p | Practical_NonNormal | Copula_Feasible","encoding= UTF-8"
"09_robust/endogeneity/copula_results.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",2,31,"Equation | Suspected | Copula_Term | Gamma_Est | Gamma_Boot_SE | Gamma_T_Stat | Gamma_P_Value | Gamma_CI_Low | Gamma_CI_High | Gamma_Sig | Gamma_T_Sig | Gamma_P_Sig | Gamma_Mismatch | Beta_Corrected | Beta_Corr_SE | Beta_Corr_T | Beta_Corr_P | Beta_Corr_CI_Low | Beta_Corr_CI_High | Beta_Corr_Sig | Beta_Original | Beta_Orig_CI_Low | Beta_Orig_CI_High | Beta_Shift | VIF_COP | VIF_OK | Cor_X_COP | Decision | Decision_Short | Reason | Mismatch_Note","encoding= UTF-8"
"09_robust/endogeneity/copula_terms.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",3,4,"Variable | Copula_Term | Cor_X_COP | Cor_OK","encoding= UTF-8"
"09_robust/endogeneity/copula_vif.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",26,6,"Equation | Suspected | Variable | VIF | Flag_3_3 | Flag_5_0","encoding= UTF-8"
"09_robust/endogeneity/distribution_check.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",9,4,"Variable | Shapiro_W | Shapiro_p | Non_Normal","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/clustering_k_selection.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",4,3,"k | WSS | Silhouette_Mean","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/groups.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",400,2,"observation | group","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/mga_results.csv","Trung gian, điều tiết và độ bền","yes","PL.G.14; PL.G.15; PL.G.16","split","",10,10,"Pair | Path | Beta_G1 | Beta_G2 | Diff | p_perm | Diff_CI_lo | Diff_CI_hi | p_adjusted | Sig","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/micom_results.csv","Trung gian, điều tiết và độ bền","yes","PL.G.17","full","",11,6,"Pair | Construct | c_original | ci_lower_5pct | p_value | decision","encoding= UTF-8"
"09_robust/level_heterogeneity/tables/micom_step3_Group_1_vs_2.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",11,7,"Construct | Mean_Diff | Var_Diff | Mean_p | Var_p | Mean_Equal | Var_Equal","encoding= UTF-8"
"09_robust/nonlinear/f2_quadratic_effects.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",10,8,"Path | X | Y | R2_reduced | R2_full | Delta_R2 | f2 | f2_class","encoding= UTF-8"
"09_robust/nonlinear/nonlinear_quadratic_results.csv","Trung gian, điều tiết và độ bền","yes","PL.G.18; PL.G.19; PL.G.20; PL.G.21","split","",3,21,"Relation | X | Y | Beta_Linear_Base | Beta_Linear_QuadModel | CI_Linear_Lo | CI_Linear_Hi | Sig_Linear | P_Linear | Beta_Quadratic | CI_Quad_Lo | CI_Quad_Hi | Sig_Quadratic | P_Quadratic | VIF_Quadratic | Delta_Beta_Linear | R2_Linear | R2_Quadratic | Delta_R2 | R2_Base_PLS | Note","encoding= UTF-8"
"09_robust/sensitivity_data/com6_diagnostics.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",1,11,"Indicator | Mean | SD | Variance | Var_Ratio_vs_Siblings | Mode | Mode_Pct | Avg_Abs_Cor_Siblings | Avg_VIF_With | Avg_VIF_Without | VIF_Delta","encoding= UTF-8"
"09_robust/sensitivity_data/com6_sensitivity_paths.csv","Trung gian, điều tiết và độ bền","yes","PL.G.22; PL.G.23","split","",10,13,"Path | Beta_With_COM6 | Beta_Without_COM6 | CI_Lo_With | CI_Hi_With | CI_Lo_Without | CI_Hi_Without | Delta_Beta | Sig_With | Sig_Without | Sign_Stable | Sig_Stable | Robust","encoding= UTF-8"
"09_robust/sensitivity_data/com6_sensitivity_r2.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",2,4,"DV | R2_With | R2_Without | R2_Delta","encoding= UTF-8"
"09_robust/sensitivity_data/comparison_pre_post_screening.csv","Trung gian, điều tiết và độ bền","no","","exclude","Không thuộc tập bảng báo cáo V4",10,9,"Path | Beta_Pre | Beta_Post | T_Pre | T_Post | Sig_Pre | Sig_Post | Sign_Stable | Sig_Stable","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/f_squared.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",10,4,"IV | DV | f_squared | Effect_Size","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/indicator_decisions.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",38,7,"Construct | Indicator | Weight | Loading | Weight_Significant | Decision | Reason","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/path_coefficients_bootstrap.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",10,14,"Beta | Boot_Mean | Boot_SE | T_Stat | CI_Low | CI_High | Path | P_Value | Sig_Primary | T_Sig | P_Sig | Mismatch | Notes | Significant","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/prediction_classification.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",1,5,"N_indicators | N_RMSE_PLS_better | N_MAE_PLS_better | Pct_better | Prediction_Level","encoding= UTF-8"
"10_report/com6_sensitivity/baseline/r_squared.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",2,3,"Construct | R_squared | Adj_R_squared","encoding= UTF-8"
"10_report/com6_sensitivity/compare/f_squared_compare.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",10,5,"IV | DV | f2_Baseline | f2_NoCOM6 | Delta_f2","encoding= UTF-8"
"10_report/com6_sensitivity/compare/formative_com_compare.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",8,10,"Indicator | Decision_Baseline | Reason_Baseline | Weight_Baseline | Loading_Baseline | Decision_NoCOM6 | Reason_NoCOM6 | Weight_NoCOM6 | Loading_NoCOM6 | Decision_Changed","encoding= UTF-8"
"10_report/com6_sensitivity/compare/instrument_com_compare.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",9,5,"Indicator | In_Baseline | In_NoCOM6 | Removed_In_NoCOM6 | Added_In_NoCOM6","encoding= UTF-8"
"10_report/com6_sensitivity/compare/path_coefficients_compare.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",10,9,"Path | Beta_Baseline | P_Value_Baseline | Sig_Primary_Baseline | Beta_NoCOM6 | P_Value_NoCOM6 | Sig_Primary_NoCOM6 | Delta_Beta | Sig_Flip","encoding= UTF-8"
"10_report/com6_sensitivity/compare/prediction_compare.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",4,3,"Metric | Baseline | No_COM6","encoding= UTF-8"
"10_report/com6_sensitivity/compare/r_squared_compare.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",2,4,"Construct | R2_Baseline | R2_NoCOM6 | Delta_R2","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/f_squared.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",10,4,"IV | DV | f_squared | Effect_Size","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/indicator_decisions.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",38,7,"Construct | Indicator | Weight | Loading | Weight_Significant | Decision | Reason","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/path_coefficients_bootstrap.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",10,14,"Beta | Boot_Mean | Boot_SE | T_Stat | CI_Low | CI_High | Path | P_Value | Sig_Primary | T_Sig | P_Sig | Mismatch | Notes | Significant","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/prediction_classification.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",1,5,"N_indicators | N_RMSE_PLS_better | N_MAE_PLS_better | Pct_better | Prediction_Level","encoding= UTF-8"
"10_report/com6_sensitivity/no_com6/r_squared.csv","Khác","no","","exclude","Không thuộc tập bảng báo cáo V4",2,3,"Construct | R_squared | Adj_R_squared","encoding= UTF-8"
