"csv_path","inferred_pipeline_step","table_category","included_in_word","word_table_number","reason_if_summarized_or_excluded","n_rows","n_columns","column_names","notes"
"02_clean/missing_data_report.csv","Tiền xử lý dữ liệu","1_full","yes","PL.C.1","",59,3,"variable | n_missing | pct_missing","encoding= UTF-8"
"02_clean/tech_validation_report.csv","Tiền xử lý dữ liệu","1_full","yes","PL.C.2","",0,3,"column | issue | count","encoding= UTF-8"
"03_qc/qc_flags_detail.csv","Kiểm soát chất lượng phản hồi","3_summary","yes","PL.C.3","Tệp quá dài/rộng ở mức dòng quan sát; chỉ trình bày tóm tắt trong Word",432,10,"Responder ID | flag_straightline | flag_longstring | flag_speeding | flag_inconsistent | flag_duplicate | n_flags | qc_remove | longstring_max | irv","encoding= UTF-8"
"03_qc/qc_summary.csv","Kiểm soát chất lượng phản hồi","1_full","yes","PL.C.4","",5,3,"Criterion | N_flagged | Pct","encoding= UTF-8"
"03_qc/sample_flow.csv","Kiểm soát chất lượng phản hồi","1_full","yes","PL.C.5","",4,5,"Stage | N | Removed | Pct_Removed | Note","encoding= UTF-8"
"04_cmv/full_collinearity_vif.csv","Đánh giá sai lệch phương pháp chung","1_full","yes","PL.C.6","",11,2,"Construct | Full_Collinearity_VIF","encoding= UTF-8"
"04_descriptives/construct_descriptive_stats.csv","Mô tả mẫu và thống kê mô tả","1_full","yes","PL.D.1","",11,11,"Construct | Full_Name | Measurement_Type | N_Indicators | N | Mean | SD | Min | Max | Skewness | Kurtosis","encoding= UTF-8"
"04_descriptives/control_var_coding.csv","Mô tả mẫu và thống kê mô tả","1_full","yes","PL.D.2","",5,3,"Source | Target | Type","encoding= UTF-8"
"04_descriptives/correlation_matrix.csv","Mô tả mẫu và thống kê mô tả","3_summary","yes","PL.D.3","Tệp quá dài/rộng ở mức dòng quan sát; chỉ trình bày tóm tắt trong Word",58,59,"col_1 | COM1 | COM2 | COM3 | COM4 | COM5 | COM7 | COM8 | COM9 | PS1 | PS2 | PS3 | PS4 | PS5 | MO1 | MO2 | MO3 | MO4 | MO5 | TP1 | TP2 | TP4 | IT1 | IT2 | IT3 | IT4 | CC1 | CC2 | CC3 | CC4 | CC5 | CG1 | CG2 | CG3 | CG4 | CG5 | CG6 | CG7 | CG8 | CG9 | ETH1 | ETH2 | ETH3 | ETH4 | TC1 | TC2 | TC3 | TC4 | TC5 | TC6 | AJ1 | AJ2 | AJ3 | AQ1 | AQ2 | AQ3 | AQ4 | AQ5 | AQ6","encoding= UTF-8"
"04_descriptives/demographic_profile.csv","Mô tả mẫu và thống kê mô tả","1_full","yes","PL.D.4","",15,4,"Variable | Category | N | Pct","encoding= UTF-8"
